matiere,cours,question n,source,texte de la question,option A,option B,option C,option D,option E,reponse
théme 15,Croissance et maturation de l'organisme,25,,Concernant les principales acquisitions psychomotrices :,Apparition du premier sourire réponse à 15 jours.,Maintien de la tête à 1 mois.,Station assise sans appui à 8 mois.,Station debout sans appui à 1 an.,Marche entre 18 et 24 mois.,CD
théme 15,Croissance et maturation de l'organisme,26,,Concernant la maturation cérébrale :,À la naissance le capital neuronal est acquis.,La multiplication gliale est achevée à la naissance.,La myélinisation des neurones se poursuit jusqu'à 4 ans.,La formation des synapses ne débute qu'à l'âge de 6 ans.,Aucune réponse n’est juste,AC
théme 15,Croissance et maturation de l'organisme,27,,Concernant la maturation du système nerveux central :,La multiplication des neurones s'achève à la 1ère année de vie.,La myélinisation des neurones s'achève à 4 ans.,Les synapses ont totalement établies à l'âge de 1 an.,La multiplication des cellules gliales s'achève à la naissance.,Aucune réponse n’est juste,B
théme 15,Croissance et maturation de l'organisme,28,,La maturation de l'appareil digestif :,La déglutition et la succion sont présentes chez le fœtus.,Le méconium est généralement émis après la naissance.,L'activité lactasique est faible à la naissance.,L'activité de la lipase pancréatique est maximale à la naissance.,Aucune réponse n’est juste,AB
théme 15,Croissance et maturation de l'organisme,29,,Concernant la maturation de l'appareil cardio-vasculaire :,Le trou de Botal est perméable chez le fœtus.,Une acidose importante chez le nouveau-né peut être responsable de la persistance d'une circulation fœtale.,Le rythme cardiaque chez le nourrisson de moins de 1 an est autour de 100 battements par minute.,L'interprétation de la tension artérielle chez l'enfant se fait au mieux en se référant à la taille et au sexe.,Aucune réponse n’est juste,ABD
théme 15,Croissance et maturation de l'organisme,30,,Répondre par vrai ou faux aux propositions suivantes.,L'érythropoïèse chez les fœtus est extrA.médullaire,L'hémoglobine du nouveau-né est de type A,Le taux d'hémoglobine à la naissance est normalement de 12g/dl,Les globules blancs sont à prédominance lymphocytaire pendant la première année de vie,Aucune réponse n’est juste,AD
théme 15,Croissance et maturation de l'organisme,32,,Le rein du nouveau-né est caractérisé par :,Une filtration glomérulaire inférieure à celle de l'adulte.,Une capacité d'excrétion de l'eau diminuée.,Une capacité d'excrétion du sodium élevée.,Un pouvoir d'acidification des urines bas.,Aucune réponse n’est juste,AD
théme 15,Croissance et maturation de l'organisme,33,,Concernant la maturation cérébrale :,"A la naissance, le cerveau possède son capital de neurones.",La myélinisation des neurones se poursuit jusqu'à 12 ans.,Les sutures cérébrales s'ossifient lorsque la croissance cérébrale est achevée.,Les réflexes archaïques disparaissent à l'âge de 1 an.,Aucune réponse n’est juste,AC
théme 15,Croissance et maturation de l'organisme,34,,Un enfant doit normalement :,Doubler son poids de naissance à 3 mois.,Tripler son poids de naissance à 1 an.,S'asseoir sans appui à 5 mois.,Double le poids de son cerveau les 9 premiers mois de sa vie.,Aucune réponse n’est juste,BD
théme 15,Croissance et maturation de l'organisme,35,,Concernant les mesures anthropométriques :,La prise staturale est de 25 à 30 cm à l'âge de 1 an.,La prise pondérale est de 2 kg entre première et la quatrième année.,La taille à la naissance est de 35 cm.,Les périmètres crânien et thoracique s'égalisent à 1 an.,Aucune réponse n’est juste,AD
theme 10,Histologie de l'appareil urinaire,1,"(Janvier 2022, [niveau1])",A propos le parenchyme rénal:,Un lobe rénal est formé par une pyramide de Malpighi associé à son cortex voisin,Le mésangium joue un rôle de support des capillaires glomérulaires.,Les cellules du tube contourné proximal renferment de nombreux lysozymes et vésicules de pinocytose.,Les cellules principales claires des canaux collecteurs participent activement à l'équilibre acido-basique par sécrétion d'ions H+ ou d'ions HCO3-.,Les Vasa Recta sont de longs capillaires qui naissent des artères arquées et des artérioles efférentes des néphrons juxtamédullaires.,ABCE
theme 10,Histologie de l'appareil urinaire,2,"(Janvier 2019, [niveau1])",Concernant la vascularisation du rein:,Les artérioles efférentes sont situées dans la substance médullaire.,Les artères arciformes naissent des artères interlobulaires.,Les artérioles efférentes donnent naissance au réseau péritubulaire.,Les veines étoilées sont situées sous la capsule rénale.,Le rein est dépourvu de capillaires lymphatiques.,CD
theme 10,Histologie de l'appareil urinaire,3,"(Juillet 2010, [niveau1])",Choisir le (les) bonne(s) réponse(s):,Le réseau artériel rénal est de type anastomotique,Les veines interlobulaires se jettent dans les veines arciformes,Les artères afférentes du glomérule naissent à partir des artères arciformes,Les capillaires forment un système porte veineux,Les artérioles efférentes donnent un système capillaire péritubulaire,BE
theme 10,Histologie de l'appareil urinaire,4,"(Juillet 2010, [niveau1])",Le cortex corticis:,Est situé sous la capsule,Existe chez le nouveau-né,Comporte des tubes collecteurs,Renferme des corpuscules de Malpighi,Renferme des segments proximaux contournés,AE
theme 10,Histologie de l'appareil urinaire,5,"(Janvier 2022, [niveau1])",Le tube collecteur:,Siège uniquement au niveau des pyramides de Ferrein,Siège au niveau du labyrinthe,Siège au niveau des pyramides de Malpighi et de Ferrein,Présente une bordure en brosse au niveau du pôle apical de ses cellules épithéliales,Assure le rythme de concentration de l'urine,CE
theme 10,Histologie de l'appareil urinaire,6,"(Janvier 2022, [niveau1])",Propositions se rapportant à la vascularisation sanguine du rein:,La vascularisation sanguine du rein est de type terminal,Les artères afférentes des glomérules sont situées dans la substance corticale,Les artères interlobulaires sont situées dans la pyramide de Malpighi,Les artères interlobaires sont situées dans des colonnes de Bertin,Les artères descendantes droites fausses sont issues des artères efférentes des glomérules juxtamédullaires,ABDE
theme 10,Histologie de l'appareil urinaire,7,"(Janvier 2022, [niveau1])",Concernant le segment proximal du néphron:,La macula densa est une zone particulière vasculaire du néphron,La macula densa est située au niveau du pôle endothélial de l'artère afférente du glomérule,La rénine est élaborée par les cellules épithéliales de la macula densa,La rénine est élaborée par les cellules musculaires lisses de l'artère afférente du glomérule,Les cellules du lacis sont des cellules spécialisées du média,BC
theme 10,Histologie de l'appareil urinaire,8,"(Janvier 2022, [niveau1])",La substance corticale comporte:,Des tubes collecteurs,Les parties contournées des segments proximaux des néphrons,Les segments moyens des néphrons,Les parties contournées des segments distaux des néphrons,Les glomérules de Malpighi,BDE
theme 10,Histologie de l'appareil urinaire,9,"(Janvier 2022, [niveau1])",Le tube contourné distal:,Comporte une bordure en brosse au niveau du pôle apical de ses cellules épithéliales,Comporte des noyaux denses et aplatis situés au niveau du pôle basal des cellules,Présente un diamètre moyen plus grand que celui du tube contourné proximal,Est riche en mitochondries,Est riche en ATPases sodium-potassium dépendantes,DE
theme 10,Histologie de l'appareil urinaire,10,"(Janvier 2022, [niveau1])",Propositions se rapportant au segment distal du néphron:,Présente un diamètre moyen supérieur à celui du tube contourné proximal,Est entouré de cellules myoépithéliales,Comporte une zone spécialisée appelée macula densa,Est fait de cellules dont le pôle apical présente une différenciation apicale de type bordure en brosse,Est fait de cellules riches en mitochondries,CE
theme 10,Histologie de l'appareil urinaire,11,"(Janvier 2022, [niveau1])",Choisissez les réponses exactes,Les artères interlobulaires sont issues des artères arciformes,Les artères descendantes droites vraies sont issues des artères arciformes,Les artères efférentes glomérulaires se capillarisent autour des segments proximaux et distaux,Les artères perforantes traversent la papille rénale,Les artères interlobaires sont situées au niveau des colonnes de Bertin,ABCE
theme 10,Histologie de l'appareil urinaire,12,"(Janvier 2022, [niveau1])",Les propositions suivantes se rapportent au trigone vésical:,Il est d'origine entoblastique,Sa surface interne est plissée,Il comporte des glandes muqueuses,"Son épithélium est de type urinaire, chez les individus de sexe masculin",Le sphincter lisse du col vésical est formé à partir de sa musculeuse,CE
theme 10,Histologie de l'appareil urinaire,13,"(Janvier 2022, [niveau1])",Choisissez les réponses exactes,"Au niveau du trigone vésical, la muqueuse est lisse","Au niveau de l'uretère, l'innervation est sympathique, parasympathique et sensitive","La paroi de la vessie présente une muqueuse, une musculaire, une sous-muqueuse et une séreuse ou adventice",La région du trigone vésical contient des glandes de type muqueux,Le parasympathique provoque le relâchement du muscle vésical et l'hypertonie du sphincter urétrovésical,AD
theme 10,Histologie de l'appareil urinaire,14,"(Janvier 2022, [niveau1])",Le corpuscule de Malpighi comprend:,Des capillaires de type continu,Une artère afférente et une artère efférente,Une chambre glomérulaire qui communique avec la lumière du segment proximal,Des cellules mésangiales,Un feuillet viscéral de la capsule de Bowman fait de podocytes,BCDE
theme 10,Histologie de l'appareil urinaire,15,"(Janvier 2022, [niveau1])",Le tube contourné proximal:,Est le segment le plus court du néphron,Est formé de cellules riches en microvillosités,A pour origine embryologique le bourgeon urétéral,Est retrouvé dans le cortex corticis et les colonnes de Bertin,Permet la réabsorption du glucose et de l'urée,BE
theme 10,Histologie de l'appareil urinaire,16,"(Janvier 2022, [niveau1])",Les propositions suivantes se rapportent au glomérule de Malpighi:,Le feuillet viscéral de la capsule de Bowman est constitué de podocytes,Les pédicelles d'un podocyte s'interdigitent avec les pédicelles de podocytes voisins,Le flocculus vasculaire du corpuscule de Malpighi réalise un système porte veineux,Les podocytes renferment des vésicules de pinocytose,Les capillaires du glomérule de Malpighi sont de type fenêtré,ABDE
theme 10,Histologie de l'appareil urinaire,17,"(Janvier 2022, [niveau1])",Choisissez les réponses exactes,Le feuillet externe de la capsule de Bowman est tapissé par un épithélium pavimenteux simple,La chambre glomérulaire reçoit un ultrafiltrat isotonique au plasma,Les pédicelles sont issus des cellules mésangiales,Les capillaires glomérulaires sont de type discontinu,Les colonnes de Bertin comportent des glomérules de Malpighi,ABE
theme 10,Histologie de l'appareil urinaire,18,"(Janvier 2022, [niveau1])",La substance médullaire comprend:,Le labyrinthe,Les pyramides de Ferrein,Les colonnes de Bertin,Les pyramides de Malpighi,Les petits calices,BD
theme 10,Histologie de l'appareil urinaire,19,"(Janvier 2022, [niveau1])",Dans le labyrinthe du rein se trouvent:,La partie contournée du segment proximal,La branche descendante du segment moyen,Le tube collecteur,Le glomérule de Malpighi,La partie contournée du segment distal,ADE
theme 10,Histologie de l'appareil urinaire,20,"(Janvier 2022, [niveau1])",Propositions se rapportant à l'appareil juxtaglomérulaire:,Est situé au niveau du pôle vasculaire du glomérule,Comprend des cellules du segment proximal,Est le siège d'une sécrétion d'angiotensine,Est innervé par le système nerveux végétatif,Comprend des cellules myoépithélioïdes contenant des grains de sécrétion,ADE
theme 10,Histologie de l'appareil urinaire,22,"(Janvier 2022, [niveau1])",L'appareil juxtaglomérulaire:,Comprend des cellules du lacis,Comprend des cellules du segment proximal,Comprend des cellules myoépithélioïdes,Est le siège d'une sécrétion endocrine d'angiotensinogène,Comprend des capillaires glomérulaires,AC
theme 10,Histologie de l'appareil urinaire,23,"(Janvier 2022, [niveau1])",Propositions se rapportant au tissu interstitiel du rein:,Est un tissu conjonctif dense,Est plus abondant dans la région médullaire comparativement à la région corticale,Comporte un riche réseau vasculaire sanguin,Comporte des vaisseaux lymphatiques dans la région corticale,Comporte des fibres nerveuses,BCDE
theme 10,Histologie de l'appareil urinaire,24,"(Janvier 2022, [niveau1])",Propositions se rapportant aux corpuscules de Malpighi:,Les podocytes du feuillet viscéral sont des cellules épithéliales,Les pédicelles peuvent être observés en microscopie optique,Les capillaires glomérulaires sont de type fenêtré,"Au niveau du pôle vasculaire, le feuillet viscéral se continue avec le feuillet pariétal",Les pédicelles voisins sont reliés entre eux par une lame basale,ABCD
theme 10,Histologie de l'appareil urinaire,25,"(Janvier 2022, [niveau1])",Choisissez les réponses exactes,"Dans les colonnes de Bertin, on trouve des corpuscules de Malpighi",Le cortex corticis est formé par la substance médullaire,Le labyrinthe est dépourvu de glomérule de Malpighi,Les parties contournées des segments proximaux et distaux sont situées au niveau de la substance corticale,La substance médullaire comporte des canaux collecteurs,ADE
theme 10,Histologie de l'appareil urinaire,26,"(Janvier 2022, [niveau1])",Choisissez les réponses exactes,La chambre glomérulaire fait partie de la capsule de Bowman,Le feuillet viscéral de la capsule de Bowman se continue directement avec les cellules du segment proximal du néphron,Le feuillet pariétal de la capsule de Bowman d'un glomérule mature est formé d'un épithélium cubique simple,Le flocculus du corpuscule de Malpighi fait partie de la capsule de Bowman,Le feuillet pariétal de la capsule de Bowman se réfléchit au niveau du pôle vasculaire et se continue par le feuillet viscéral,ADE
theme 10,Histologie de l'appareil urinaire,27,"(Janvier 2022, [niveau1])",Choisissez les réponses exactes,Le pôle apical des cellules du segment proximal présente une bordure en brosse,Le pôle apical des cellules du segment distal présente une bordure en brosse,Le pôle basal des cellules du tube collecteur présente de nombreuses invaginations de la membrane plasmique,Les cellules du segment proximal du néphron sont riches en phosphatase acide,La macula densa est une zone particulière du segment proximal,AC
theme 10,Histologie de l'appareil urinaire,28,"(Janvier 2022, [niveau1])",Choisissez les réponses exactes,Le segment proximal de la partie tubulaire du néphron fait suite au pôle urinaire du glomérule,La macula densa se trouve en regard du pôle vasculaire du glomérule,Le segment moyen est long dans les néphrons juxtamédullaires et court dans les néphrons corticaux,La macula densa est une zone particulière du segment proximal,Le segment proximal est le segment le plus long du néphron,ABCE
theme 10,Histologie de l'appareil urinaire,29,"(Janvier 2022, [niveau1])",Choisissez les réponses exactes,La macula densa est une différenciation particulière de l'épithélium du segment proximal du néphron,La rénine est synthétisée par les cellules myoépithélioïdes de l'artère afférente du glomérule,L'hormone antidiurétique contrôle la perméabilité à l'eau de la paroi des tubes collecteurs,La région basale des segments proximaux et distaux comporte une ATPase Na+/K+ dépendante,Au niveau du segment proximal s'effectue une sécrétion active d'ions H+,BCD
theme 10,Histologie de l'appareil urinaire,30,"(Janvier 2022, [niveau1])",Les podocytes:,Sont en contact avec la chambre glomérulaire,Sont des cellules épithéliales,Comportent 2 à 3 pédicelles (par podocyte),Élaborent la matrice mésangiale,Reposent sur une lame basale épaisse,ABE
theme 10,Histologie de l'appareil urinaire,31,"(Janvier 2022, [niveau1])","Dans une pyramide de Ferrein du rein, on trouve:",Les segments proximaux du néphron,Les glomérules de Malpighi,Les tubes collecteurs,L'interstitium,Aucune réponse n’est correcte.,C
theme 10,Histologie de l'appareil urinaire,33,"(Janvier 2022, [niveau 1])",Choisissez les réponses exactes,Le réseau artériel du rein est de type terminal. Les artères afférentes des glomérules vont donner directement naissance aux capillaires irriguant les segments contournés proximaux et distaux des néphrons.,Les artères interlobulaires sont issues des artères arciformes,Les artères droites vraies sont issues des artères arciformes,L'artère efférente du glomérule est située au niveau du pôle vasculaire du glomérule,Aucune réponse n’est correcte.,BCD
theme 10,Histologie de l'appareil urinaire,34,"(Janvier 2022, [niveau1])",Soient les propositions suivantes symbolisées par des lettres:,Les feuillets pariétaux de la capsule de Bowman sont constitués par un épithélium cubique simple,Les pédicelles sont visibles en microscopie optique,Le noyau d'un podocyte fait saillie dans la chambre glomérulaire,Les feuillets viscéraux de la capsule de Bowman sont constitués d'un revêtement épithélial,La lame basale glomérulaire est PAS positive,BCE
theme 10,Histologie de l'appareil urinaire,35,"(Janvier 2022, [niveau1])",Soient les propositions suivantes:,Les artères afférentes des glomérules juxtamédullaires sont issues directement des artères arciformes,Les capillaires glomérulaires sont de type discontinu,Les artères interlobulaires cheminent dans les pyramides de Malpighi,La vascularisation artérielle du rein est de type anastomotique,Les artères afférentes des glomérules vont donner des capillaires destinées aux segments proximaux et distaux des néphrons,C
theme 10,Histologie de l'appareil urinaire,36,"(Janvier 2022, [niveau1])",Le corpuscule de Malpighi:,Est situé dans les pyramides de Malpighi,Est situé dans les pyramides de Ferrein,Est situé dans les labyrinthes,Reçoit le sang provenant de l'artère interlobulaire,Est le siège de la filtration rénale,CE
theme 10,Histologie de l'appareil urinaire,37,"(Janvier 2022, [niveau1])",L'appareil juxtaglomérulaire:,Comporte des cellules riches en myofilaments et en grains de sécrétion,Comporte des cellules disposées en pile et séparées les unes des autres par une lame basale,Comprend une région modifiée du tube contourné proximal,Comprend des cellules sensibles aux variations de la teneur en Na+,Est dépourvu de fibres nerveuses,ABD
theme 10,Histologie de l'appareil urinaire,38,"(Janvier 2022, [niveau1])",L'uretère:,Est tapissé par un épithélium stratifié prismatique,Comporte un adventice,Comporte une musculaire muqueuse,Comporte au niveau de son tiers moyen une musculaire striée,Est innervé par le système nerveux végétatif et par des fibres sensitives,B
theme 10,Histologie de l'appareil urinaire,39,"(Janvier 2022, [niveau1])",Choisissez les réponses exactes,Les colonnes de Bertin comportent des glomérules de Malpighi,Le cortex corticis comporte des glomérules de Malpighi,Le labyrinthe est représenté par le tissu compris entre les pyramides de Ferrein,Les pyramides de Ferrein font partie de la substance corticale,Les artères interlobulaires longent les pyramides de Ferrein,AC
theme 10,Histologie de l'appareil urinaire,40,"(Janvier 2022, [niveau1])",Soient les affirmations suivantes symbolisées par des lettres:,La lame basale glomérulaire est située entre les pédicelles et les fentes de filtration,Les capillaires glomérulaires sont de type discontinu,Les feuillets pariétaux de la capsule de Bowman sont constitués par un épithélium cubique simple,Le cytoplasme des cellules mésangiales renferme des lysosomes et des grains de lipofuscine,La lame basale glomérulaire est PAS positive,BE
theme 10,Histologie de l'appareil urinaire,41,"(Janvier 2022, [niveau1])",Choisissez les réponses exactes,Les feuillets pariétaux de la capsule de Bowman sont formés de podocytes,Les fentes de filtration sont situées entre les pédicelles,La lame basale du flocculus est épaisse et PAS positive,Les capillaires glomérulaires sont de type fenêtré,Les pédicelles sont des prolongements des cellules mésangiales,BCD
theme 10,Histologie de l'appareil urinaire,42,"(Janvier 2022, [niveau1])",Choisissez les réponses exactes,Les artères interlobulaires se terminent par des artères perforantes qui pénètrent la capsule et s'y arborisent,Les artères interlobulaires sont situées dans la zone corticale,Les artères descendantes des glomérules sont situées dans les pyramides de Malpighi,Les artères afférentes des glomérules sont situées dans les pyramides de Malpighi,Les artères afférentes des glomérules sont issues directement des artères interlobulaires,ABCE
theme 10,Histologie de l'appareil urinaire,43,"(Janvier 2022, [niveau1])",Les cellules du segment proximal du néphron:,Sont cubiques ou cylindriques,Sont riches en mitochondries,Présentent une bordure en brosse au niveau du pôle apical,Sont séparées de la lame basale par des cellules myoépithéliales,Présentent des invaginations de la membrane plasmique au niveau du pôle basal,ABCE
theme 10,Histologie de l'appareil urinaire,44,"(Janvier 2022, [niveau1])",Soient les propositions suivantes se rapportant à la vascularisation sanguine du rein:,La vascularisation sanguine du rein est de type anastomotique,La vascularisation sanguine comporte des systèmes porte artériels,Les artères interlobulaires sont situées au niveau de la règle médullaire,Les artères arciformes sont situées au niveau de la jonction corticomédullaire,Les artères interlobaires sont situées au niveau des colonnes de Bertin,BDE
theme 10,Histologie de l'appareil urinaire,45,"(Janvier 2022, [niveau1])",Propositions se rapportant à l'appareil juxtaglomérulaire:,L'appareil juxtaglomérulaire est situé au niveau du pôle urinaire du glomérule de Malpighi,La macula densa est une zone particulière de l'épithélium du tube contourné proximal,Les cellules du lacis sont entourées par une lame basale,Les cellules mésangiales font partie de l'appareil juxtaglomérulaire,La macula densa est sensible à la teneur en ions Na+ de l'urine tubulaire,CE
theme 10,Histologie de l'appareil urinaire,46,"(Janvier 2022, [niveau1])",Choisissez les réponses exactes,La paroi vésicale comporte une musculaire muqueuse,La paroi du bassinet est dépourvue de cellules musculaires lisses,"Au niveau du trigone vésical, la muqueuse comporte des glandes à sécrétion muqueuse",La surface de la papille rénale est tapissée par un épithélium prismatique simple,La paroi des grands calices comporte des cellules musculaires lisses,CDE
theme 10,Histologie de l'appareil urinaire,47,"(Janvier 2022, [niveau1])",Choisissez les réponses exactes,Les cellules de Ruyter sécrètent de l'aldostérone,Les cellules de la macula densa sécrètent de la rénine,Les cellules mésangiales sécrètent de la rénine,L'hormone antidiurétique contrôle la réabsorption de l'eau par les tubes collecteurs,L'urine qui arrive à la fin du segment distal est hypertonique par rapport à l'urine définitive,DE
theme 10,Histologie de l'appareil urinaire,48,"(Janvier 2022, [niveau1])",Le segment distal du néphron:,Présente un diamètre souvent supérieur à celui du segment proximal,Est entouré de cellules myoépithéliales,Passe au niveau du pôle vasculaire du néphron,Présente une bordure en brosse au niveau du pôle apical des cellules,Présente des invaginations de la membrane plasmique au niveau du pôle basal,CE
theme 10,Histologie de l'appareil urinaire,49,"(Janvier 2022, [niveau1])",Choisissez les réponses exactes,Les tubes collecteurs sont retrouvés au niveau des pyramides de Malpighi,Les portions contournées des segments proximaux ne sont jamais retrouvées au niveau des pyramides de Malpighi,Le segment moyen du néphron est retrouvé au niveau des pyramides de Malpighi,La macula densa est retrouvée au niveau des colonnes de Bertin,Le cortex corticis est dépourvu de glomérule,ABCDE
theme 10,Histologie de l'appareil urinaire,50,"(Juillet 2009, [niveau1])",Choisir le (les) bonne(s) réponse(s):,Les glomérules de Malpighi sont présents au niveau du cortex corticis,Le rein comporte 10 à 18 lobules rénaux,Les tubes collecteurs font partie de la substance médullaire,Les néphrons juxtamédullaires se distinguent par un segment moyen long,Le peloton vasculaire glomérulaire est un système porte veineux,CD
theme 10,Histologie de l'appareil urinaire,51,"(Juillet 2009, [niveau1])",Choisir le (les) bonne(s) réponse(s):,Le feuillet pariétal de la capsule de Bowman est fait d'un épithélium pavimenteux simple,Les cellules mésangiales sont entourées par une lame basale,Toutes les cellules du tube collecteur sont pourvues de microvillosités,Les cellules de la macula densa présentent des invaginations de leur membrane basale,Les cellules du lacis sont des cellules mésangiales,ABE
theme 10,Histologie de l'appareil urinaire,52,"(Mai 2009, [niveau1])",La vascularisation du rein:,Les artérioles efférentes sont situées dans la substance médullaire,Les artères arciformes naissent des artères interlobulaires,Les artérioles afférentes donnent naissance au réseau péritubulaire,Les veines étoilées sont situées sous la capsule rénale,Le rein est dépourvu de capillaires lymphatiques,D
theme 10,Histologie de l'appareil urinaire,53,"(Mai 2009, [niveau1])",Choisissez les réponses exactes,Le chorion de la paroi vésicale est riche en fibres élastiques,Les cellules interstitielles fabriquent la rénine,Les capillaires glomérulaires sont de type discontinu,Les corpuscules de Malpighi sont présents dans le labyrinthe,L'épithélium du segment moyen du néphron est riche en microvillosités,AD
theme 10,Histologie de l'appareil urinaire,54,"(Juillet 2003, [niveau1])",L'appareil juxtaglomérulaire:,Est situé au niveau du pôle urinaire du glomérule,Comporte des cellules modifiées du tube contourné distal,Possède des cellules musculaires lisses modifiées,Est le siège d'une sécrétion d'angiotensine,Régule le débit sanguin dans les capillaires glomérulaires,BCE
theme 10,Histologie de l'appareil urinaire,55,"(Juillet 2003, [niveau1])",La vascularisation du rein:,Comporte des systèmes porte artériels,Est de type anastomotique,Les artères afférentes se capillarisent autour des tubes contournés proximaux et distaux,Les artères arciformes circulent au niveau de la base des pyramides de Malpighi,Les artères perforantes irriguent le bassinet,AD
theme 10,Histologie de l'appareil urinaire,56,"(Décembre 2000, [niveau1])",Choisir le (les) bonne(s) réponse(s):,Le feuillet pariétal de la capsule de Bowman est formé de podocytes,Les fentes de filtration sont situées entre les pédicelles,Les capillaires glomérulaires sont de type discontinu,Les pédicelles sont les prolongements des cellules endothéliales,Les pédicelles sont directement en contact avec les cellules mésangiales,B
theme 10,Histologie de l'appareil urinaire,57,"(Décembre 2000, [niveau1])",L'appareil juxtaglomérulaire:,Est situé au niveau du pôle urinaire du glomérule,Comprend des cellules du segment moyen,Est le siège d'une sécrétion d'angiotensine,Comporte des cellules riches en myofilaments,Comporte des cellules en continuité avec l'axe mésangial,DE
theme 10,Histologie de l'appareil urinaire,58,"(Décembre 2000, [niveau1])",La substance médullaire renferme:,Des corpuscules de Malpighi,Des artères interlobaires,Des segments moyens,Des parties contournées des segments proximaux,Des parties droites de segments distaux,CE
theme 10,Histologie de l'appareil urinaire,59,"(Décembre 2000, [niveau1])",Les propositions suivantes se rapportent à la vascularisation du rein:,La vascularisation sanguine du rein est de type anastomotique,Les artères afférentes des glomérules sont situées dans la substance médullaire,Les artères interlobaires sont situées entre les pyramides de Ferrein,Les artères arciformes circulent au niveau de la base des pyramides de Malpighi,Les artères perforantes irriguent la capsule rénale,DE
theme 10,Histologie de l'appareil urinaire,60,"(Décembre 1998, [niveau1])",Choisir le (les) bonne(s) réponse(s):,Les petits calices sont recouverts par un épithélium cubique simple,La musculeuse du bassinet est constituée de cellules musculaires striées,La vessie est recouverte par une séreuse sur sa face supérieure,"L'épithélium de l'urètre féminin est, par endroits, pavimenteux stratifié non kératinisé","Chez la femme, le chorion de l'uretère renferme des glandes muqueuses",ADE
theme 10,Histologie de l'appareil urinaire,61,"(Décembre 1998, [niveau1])",Le podocyte:,Est en contact avec la lame basale des capillaires glomérulaires,Est capable de pinocytose,Fait saillie dans la chambre glomérulaire,Sécrète la substance mésangiale,"À un niveau donné, un capillaire glomérulaire est en rapport avec un seul podocyte",BC
theme 10,Histologie de l'appareil urinaire,62,"(Décembre 1998, [niveau1])",Choisir le (les) bonne(s) réponse(s):,Le néphron est constitué par le corpuscule de Malpighi et son tube urinaire,Le feuillet pariétal de la capsule de Bowman est tapissé par un épithélium pavimenteux simple,Le feuillet viscéral de la capsule de Bowman dérive du canal de Wolf,Les capillaires du peloton vasculaire sont d'origine mésoblastique,La chambre glomérulaire abrite l'urine primitive,BE
theme 10,Histologie de l'appareil urinaire,63,"(Décembre 1998, [niveau1])",Choisir le (les) bonne(s) réponse(s):,La zone médullaire renferme les pyramides de Ferrein,Le labyrinthe est situé entre les pyramides de Ferrein,Les pyramides de Ferrein comportent des portions contournées des segments proximaux,Les pyramides de Malpighi comportent des segments moyens,Les colonnes de Bertin contiennent des glomérules de Malpighi,ABDE
theme 10,Histologie de l'appareil urinaire,64,"(Décembre 1998, [niveau1])",Les tubes collecteurs:,Commencent à la base des pyramides de Malpighi,Sont entourés par un tissu conjonctif lâche,Comportent un épithélium formé de cellules claires et de cellules sombres,Présentent des récepteurs membranaires spécifiques de l'ADH,Leurs extrémités sont appelées canaux de Bellini,CDE
theme 10,Histologie de l'appareil urinaire,65,"(Décembre 1998, [niveau1])",Les corpuscules de Malpighi:,Existent chez le fœtus au niveau de la substance corticale,Représentent l'unité anatomique et fonctionnelle du rein,Sont constitués par un flocculus vasculaire entouré par la capsule de Bowman,Comportent des capillaires de type discontinu,Ne sont visibles qu'au microscope,AC
theme 10,Histologie de l'appareil urinaire,66,"(Décembre 1998, [niveau1])",Les cellules myoépithélioïdes:,Se trouvent dans la paroi de l'artère afférente,Sont des cellules endothéliales,Renferment des myofilaments,Sécrètent l'aldostérone,Comportent des barorécepteurs,AC
theme 10,Histologie de l'appareil urinaire,67,"(Décembre 1998, [niveau1])",Les propositions suivantes se rapportent au rein:,Les cellules myoépithélioïdes siègent dans le média de l'artère afférente,Les cellules myoépithélioïdes comportent des myofilaments et des grains de rénine,Les cellules de la macula densa sont situées à proximité des cellules myoépithélioïdes,Les cellules du lacis sont réunies par des systèmes de jonction,L'innervation de l'appareil juxtaglomérulaire est de type végétatif,ABCDE
theme 10,Histologie de l'appareil urinaire,68,"(Décembre 1998, [niveau1])",Le segment proximal:,Fait suite à la chambre glomérulaire,A le diamètre le plus large de tout le néphron,Comporte une différenciation membranaire aux pôles apical et basal,Présente une longueur variable selon la localisation du néphron dans le parenchyme rénal,Est un des éléments de l'appareil glomérulaire,AC
theme 10,Histologie de l'appareil urinaire,69,"(Décembre 1998, [niveau1])",L'uretère:,Présente une lumière irrégulière,Une musculeuse constituée de 3 couches de cellules,Présente une double innervation végétative et sensitive au niveau de son 1/3 moyen,Sa lumière est tapissée par un épithélium pavimenteux non stratifié,Est revêtu extérieurement par un adventice,AE
theme 10,La région retro peritoneale laterale,1,"(Janvier 2024, [niveau1])",Concernant la veine rénale gauche:,Elle est plus courte que l'artère rénale gauche,Traverse la pince aorto-mésentérique,Passe en arrière de l'aorte abdominale,Reçoit la veine génitale gauche,Se jette dans la veine cave inférieure à la hauteur de L1,BDE
theme 10,La région retro peritoneale laterale,2,"(Janvier 2022, [niveau1])",Le rein:,A 12 cm de long,Est un organe intra péritonéal,Le grand axe longitudinal est oblique en caudal latéral.,Présente un axe transversal oblique en ventral médial.,Présente un hile au niveau de son pôle supérieur.,AC
